Census Tract ,County ,State,percent,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,total,total same-sex
Census Tract 101,Cook County,Illinois,13.48%,408,46,157,42,653,88
Census Tract 102.01,Cook County,Illinois,8.85%,842,62,198,39,1141,101
Census Tract 102.02,Cook County,Illinois,11.16%,277,32,97,15,421,47
Census Tract 103,Cook County,Illinois,13.19%,630,67,193,58,948,125
Census Tract 104,Cook County,Illinois,13.18%,384,42,156,40,622,82
Census Tract 105.01,Cook County,Illinois,13.78%,434,49,173,48,704,97
Census Tract 105.02,Cook County,Illinois,13.83%,317,35,113,34,499,69
Census Tract 105.03,Cook County,Illinois,6.47%,226,10,63,10,309,20
Census Tract 106,Cook County,Illinois,11.99%,673,61,289,70,1093,131
Census Tract 107.01,Cook County,Illinois,10.28%,533,54,104,19,710,73
Census Tract 107.02,Cook County,Illinois,12.14%,540,42,169,56,807,98
Census Tract 201,Cook County,Illinois,6.27%,537,21,106,22,686,43
Census Tract 202,Cook County,Illinois,1.59%,1280,14,79,8,1381,22
Census Tract 203.01,Cook County,Illinois,1.63%,933,8,34,8,983,16
Census Tract 203.02,Cook County,Illinois,4.63%,779,27,87,15,908,42
Census Tract 204,Cook County,Illinois,4.97%,741,32,100,12,885,44
Census Tract 205,Cook County,Illinois,3.74%,878,17,126,22,1043,39
Census Tract 206.01,Cook County,Illinois,1.12%,1077,11,67,2,1157,13
Census Tract 206.02,Cook County,Illinois,5.02%,722,32,54,9,817,41
Census Tract 207.01,Cook County,Illinois,4.18%,356,11,34,6,407,17
Census Tract 207.02,Cook County,Illinois,2.18%,1216,18,84,11,1329,29
Census Tract 208.01,Cook County,Illinois,4.98%,855,30,119,21,1025,51
Census Tract 208.02,Cook County,Illinois,3.48%,1156,29,93,16,1294,45
Census Tract 209.01,Cook County,Illinois,3.39%,787,20,124,12,943,32
Census Tract 209.02,Cook County,Illinois,5.52%,591,13,60,25,689,38
Census Tract 301.01,Cook County,Illinois,15.48%,444,56,113,46,659,102
Census Tract 301.02,Cook County,Illinois,15.23%,373,47,100,38,558,85
Census Tract 301.03,Cook County,Illinois,14.61%,136,13,51,19,219,32
Census Tract 301.04,Cook County,Illinois,8.37%,163,13,56,7,239,20
Census Tract 302,Cook County,Illinois,17.43%,840,123,174,91,1228,214
Census Tract 303,Cook County,Illinois,9.81%,420,32,95,24,571,56
Census Tract 304,Cook County,Illinois,27.14%,328,95,80,57,560,152
Census Tract 305,Cook County,Illinois,23.78%,772,182,247,136,1337,318
Census Tract 306.01,Cook County,Illinois,14.46%,408,52,77,30,567,82
Census Tract 306.03,Cook County,Illinois,15.38%,180,30,73,16,299,46
Census Tract 306.04,Cook County,Illinois,13.46%,467,40,99,48,654,88
Census Tract 307.01,Cook County,Illinois,21.62%,120,22,54,26,222,48
Census Tract 307.02,Cook County,Illinois,13.95%,312,40,58,20,430,60
Census Tract 307.03,Cook County,Illinois,22.94%,351,61,89,70,571,131
Census Tract 307.06,Cook County,Illinois,18.53%,339,44,70,49,502,93
Census Tract 308,Cook County,Illinois,23.83%,596,122,155,113,986,235
Census Tract 309,Cook County,Illinois,22.57%,413,80,112,73,678,153
Census Tract 310,Cook County,Illinois,17.17%,548,85,190,68,891,153
Census Tract 311,Cook County,Illinois,24.63%,489,113,233,123,958,236
Census Tract 312,Cook County,Illinois,17.74%,443,79,160,51,733,130
Census Tract 313,Cook County,Illinois,14.42%,759,95,214,69,1137,164
Census Tract 314,Cook County,Illinois,16.14%,592,95,208,59,954,154
Census Tract 315.01,Cook County,Illinois,12.86%,397,32,118,44,591,76
Census Tract 315.02,Cook County,Illinois,14.80%,386,47,207,56,696,103
Census Tract 317,Cook County,Illinois,18.99%,630,108,266,102,1106,210
Census Tract 318,Cook County,Illinois,10.29%,278,22,88,20,408,42
Census Tract 319,Cook County,Illinois,8.00%,352,24,108,16,500,40
Census Tract 321,Cook County,Illinois,14.44%,762,88,322,95,1267,183
Census Tract 401,Cook County,Illinois,12.26%,597,67,147,37,848,104
Census Tract 402.01,Cook County,Illinois,5.12%,1053,38,263,33,1387,71
Census Tract 402.02,Cook County,Illinois,3.29%,1111,26,182,18,1337,44
Census Tract 403,Cook County,Illinois,4.55%,559,18,49,11,637,29
Census Tract 404.01,Cook County,Illinois,7.33%,562,35,133,20,750,55
Census Tract 404.02,Cook County,Illinois,8.45%,689,45,297,46,1077,91
Census Tract 406,Cook County,Illinois,6.23%,398,18,114,16,546,34
Census Tract 407,Cook County,Illinois,4.66%,610,17,147,20,794,37
Census Tract 408,Cook County,Illinois,4.82%,281,9,94,10,394,19
Census Tract 409,Cook County,Illinois,5.87%,292,12,109,13,426,25
Census Tract 501,Cook County,Illinois,4.05%,422,13,147,11,593,24
Census Tract 502,Cook County,Illinois,3.03%,990,26,164,10,1190,36
Census Tract 503,Cook County,Illinois,3.99%,518,12,84,13,627,25
Census Tract 505,Cook County,Illinois,3.52%,995,16,155,26,1192,42
Census Tract 506,Cook County,Illinois,5.13%,426,11,129,19,585,30
Census Tract 507,Cook County,Illinois,3.54%,308,7,74,7,396,14
Census Tract 508,Cook County,Illinois,2.89%,267,3,35,6,311,9
Census Tract 509,Cook County,Illinois,1.24%,250,3,69,1,323,4
Census Tract 510,Cook County,Illinois,1.68%,292,5,60,1,358,6
Census Tract 511,Cook County,Illinois,4.74%,322,16,60,3,401,19
Census Tract 512,Cook County,Illinois,2.91%,269,5,65,5,344,10
Census Tract 513,Cook County,Illinois,2.93%,617,11,78,10,716,21
Census Tract 514,Cook County,Illinois,3.50%,411,7,113,12,543,19
Census Tract 601,Cook County,Illinois,4.29%,471,15,154,13,653,28
Census Tract 602,Cook County,Illinois,6.81%,350,22,115,12,499,34
Census Tract 603,Cook County,Illinois,3.49%,554,16,109,8,687,24
Census Tract 604,Cook County,Illinois,4.05%,668,16,137,18,839,34
Census Tract 605,Cook County,Illinois,5.13%,186,4,36,8,234,12
Census Tract 608,Cook County,Illinois,14.71%,567,83,245,57,952,140
Census Tract 609,Cook County,Illinois,15.76%,739,91,293,102,1225,193
Census Tract 610,Cook County,Illinois,21.57%,211,46,98,39,394,85
Census Tract 611,Cook County,Illinois,4.21%,140,2,65,7,214,9
Census Tract 612,Cook County,Illinois,5.00%,231,9,73,7,320,16
Census Tract 615,Cook County,Illinois,5.78%,230,10,96,10,346,20
Census Tract 618,Cook County,Illinois,24.31%,81,18,56,26,181,44
Census Tract 619.01,Cook County,Illinois,14.52%,352,45,160,42,599,87
Census Tract 619.02,Cook County,Illinois,12.91%,592,66,224,55,937,121
Census Tract 620,Cook County,Illinois,18.44%,301,54,137,45,537,99
Census Tract 621,Cook County,Illinois,19.12%,352,69,181,57,659,126
Census Tract 622,Cook County,Illinois,5.99%,444,19,152,19,634,38
Census Tract 623,Cook County,Illinois,5.66%,276,8,74,13,371,21
Census Tract 624,Cook County,Illinois,6.72%,268,13,65,11,357,24
Census Tract 625,Cook County,Illinois,8.05%,259,14,61,14,348,28
Census Tract 626,Cook County,Illinois,3.85%,477,13,72,9,571,22
Census Tract 627,Cook County,Illinois,4.91%,464,21,117,9,611,30
Census Tract 628,Cook County,Illinois,3.65%,637,17,154,13,821,30
Census Tract 629,Cook County,Illinois,5.67%,570,19,178,26,793,45
Census Tract 630,Cook County,Illinois,5.54%,351,15,246,20,632,35
Census Tract 631,Cook County,Illinois,13.25%,259,28,134,32,453,60
Census Tract 632,Cook County,Illinois,9.63%,841,56,294,65,1256,121
Census Tract 633.01,Cook County,Illinois,8.63%,220,13,161,23,417,36
Census Tract 633.02,Cook County,Illinois,6.96%,494,28,241,27,790,55
Census Tract 633.03,Cook County,Illinois,7.56%,171,8,37,9,225,17
Census Tract 634,Cook County,Illinois,8.65%,280,18,100,18,416,36
Census Tract 701.01,Cook County,Illinois,3.13%,527,14,185,9,735,23
Census Tract 701.02,Cook County,Illinois,2.64%,385,4,168,11,568,15
Census Tract 701.03,Cook County,Illinois,4.89%,123,5,91,6,225,11
Census Tract 702,Cook County,Illinois,3.71%,485,12,164,13,674,25
Census Tract 703,Cook County,Illinois,4.55%,554,19,201,17,791,36
Census Tract 704,Cook County,Illinois,2.38%,507,6,108,9,630,15
Census Tract 705,Cook County,Illinois,3.23%,556,12,103,10,681,22
Census Tract 706,Cook County,Illinois,2.74%,689,16,93,6,804,22
Census Tract 707,Cook County,Illinois,2.46%,648,12,145,8,813,20
Census Tract 710,Cook County,Illinois,1.00%,418,3,75,2,498,5
Census Tract 711,Cook County,Illinois,2.21%,363,4,80,6,453,10
Census Tract 712,Cook County,Illinois,5.16%,400,9,188,23,620,32
Census Tract 713,Cook County,Illinois,1.69%,638,5,176,9,828,14
Census Tract 714,Cook County,Illinois,3.64%,645,21,228,12,906,33
Census Tract 715,Cook County,Illinois,3.03%,772,12,349,23,1156,35
Census Tract 716,Cook County,Illinois,1.22%,359,3,45,2,409,5
Census Tract 717,Cook County,Illinois,3.62%,308,11,65,3,387,14
Census Tract 718,Cook County,Illinois,1.41%,492,6,66,2,566,8
Census Tract 801,Cook County,Illinois,3.92%,1151,36,222,20,1429,56
Census Tract 802.01,Cook County,Illinois,4.31%,470,15,130,12,627,27
Census Tract 802.02,Cook County,Illinois,5.62%,520,22,185,20,747,42
Census Tract 803,Cook County,Illinois,3.51%,622,15,368,21,1026,36
Census Tract 804,Cook County,Illinois,5.66%,359,18,124,11,512,29
Census Tract 810,Cook County,Illinois,5.39%,656,35,363,23,1077,58
Census Tract 811,Cook County,Illinois,4.77%,400,8,159,20,587,28
Census Tract 812.01,Cook County,Illinois,3.59%,800,18,167,18,1003,36
Census Tract 812.02,Cook County,Illinois,3.83%,717,22,86,10,835,32
Census Tract 813,Cook County,Illinois,5.83%,956,47,142,21,1166,68
Census Tract 814.01,Cook County,Illinois,2.33%,374,7,88,4,473,11
Census Tract 814.02,Cook County,Illinois,3.65%,1287,25,323,36,1671,61
Census Tract 814.03,Cook County,Illinois,4.41%,1583,42,518,55,2198,97
Census Tract 815,Cook County,Illinois,4.65%,1037,21,276,43,1377,64
Census Tract 816,Cook County,Illinois,4.59%,525,18,265,20,828,38
Census Tract 817,Cook County,Illinois,3.50%,529,19,409,15,972,34
Census Tract 818,Cook County,Illinois,4.10%,1580,47,921,60,2608,107
Census Tract 819,Cook County,Illinois,6.71%,175,8,103,12,298,20
Census Tract 901,Cook County,Illinois,0.71%,774,4,60,2,840,6
Census Tract 902,Cook County,Illinois,1.42%,1305,13,149,8,1475,21
Census Tract 903,Cook County,Illinois,1.28%,282,0,26,4,312,4
Census Tract 1001,Cook County,Illinois,0.97%,1000,10,126,1,1137,11
Census Tract 1002,Cook County,Illinois,1.36%,1309,13,144,7,1473,20
Census Tract 1003,Cook County,Illinois,1.19%,1176,10,71,5,1262,15
Census Tract 1004,Cook County,Illinois,0.26%,734,1,45,1,781,2
Census Tract 1005,Cook County,Illinois,1.38%,1267,6,89,13,1375,19
Census Tract 1006,Cook County,Illinois,1.12%,969,9,90,3,1071,12
Census Tract 1007,Cook County,Illinois,1.19%,1015,9,62,4,1090,13
Census Tract 1101,Cook County,Illinois,2.26%,1007,22,115,4,1148,26
Census Tract 1102,Cook County,Illinois,2.70%,468,13,73,2,556,15
Census Tract 1103,Cook County,Illinois,1.91%,1028,17,99,5,1149,22
Census Tract 1104,Cook County,Illinois,2.54%,781,14,100,9,904,23
Census Tract 1105.01,Cook County,Illinois,1.40%,891,12,94,2,999,14
Census Tract 1105.02,Cook County,Illinois,3.53%,522,17,106,6,651,23
Census Tract 1201,Cook County,Illinois,1.74%,1048,17,25,2,1092,19
Census Tract 1202,Cook County,Illinois,1.14%,1074,8,58,5,1145,13
Census Tract 1203,Cook County,Illinois,1.82%,1561,21,54,9,1645,30
Census Tract 1204,Cook County,Illinois,3.14%,670,19,70,5,764,24
Census Tract 1301,Cook County,Illinois,1.85%,919,10,34,8,971,18
Census Tract 1302,Cook County,Illinois,3.28%,274,4,21,6,305,10
Census Tract 1303,Cook County,Illinois,3.24%,888,18,68,14,988,32
Census Tract 1401,Cook County,Illinois,4.50%,447,11,126,16,600,27
Census Tract 1402,Cook County,Illinois,4.38%,622,24,164,12,822,36
Census Tract 1403.01,Cook County,Illinois,1.86%,396,7,79,2,484,9
Census Tract 1403.02,Cook County,Illinois,4.18%,568,17,97,12,694,29
Census Tract 1404,Cook County,Illinois,2.45%,1108,24,124,7,1263,31
Census Tract 1405,Cook County,Illinois,3.70%,517,19,81,4,621,23
Census Tract 1406.01,Cook County,Illinois,3.48%,375,7,41,8,431,15
Census Tract 1406.02,Cook County,Illinois,4.61%,643,30,144,8,825,38
Census Tract 1407.01,Cook County,Illinois,5.98%,356,9,84,19,468,28
Census Tract 1407.02,Cook County,Illinois,4.94%,753,27,189,22,991,49
Census Tract 1408,Cook County,Illinois,5.93%,1064,47,237,35,1383,82
Census Tract 1502,Cook County,Illinois,3.37%,1180,33,226,16,1455,49
Census Tract 1503,Cook County,Illinois,2.46%,1208,25,177,10,1420,35
Census Tract 1504.01,Cook County,Illinois,2.71%,778,17,82,7,884,24
Census Tract 1504.02,Cook County,Illinois,2.47%,640,15,71,3,729,18
Census Tract 1505.01,Cook County,Illinois,1.79%,692,12,78,2,784,14
Census Tract 1505.02,Cook County,Illinois,1.78%,669,7,103,7,786,14
Census Tract 1506,Cook County,Illinois,3.47%,598,17,97,8,720,25
Census Tract 1507,Cook County,Illinois,2.85%,730,17,89,7,843,24
Census Tract 1508,Cook County,Illinois,2.13%,738,11,136,8,893,19
Census Tract 1510.01,Cook County,Illinois,2.19%,381,7,66,3,457,10
Census Tract 1510.02,Cook County,Illinois,2.36%,576,9,126,8,719,17
Census Tract 1511,Cook County,Illinois,2.05%,736,11,124,7,878,18
Census Tract 1512,Cook County,Illinois,3.30%,630,20,74,4,728,24
Census Tract 1601,Cook County,Illinois,4.04%,422,10,53,10,495,20
Census Tract 1602,Cook County,Illinois,3.49%,611,16,81,9,717,25
Census Tract 1603,Cook County,Illinois,6.03%,493,31,162,11,697,42
Census Tract 1604,Cook County,Illinois,4.49%,726,21,168,21,936,42
Census Tract 1605.01,Cook County,Illinois,3.36%,514,11,118,11,654,22
Census Tract 1605.02,Cook County,Illinois,4.03%,471,15,125,10,621,25
Census Tract 1606.01,Cook County,Illinois,4.41%,529,17,122,13,681,30
Census Tract 1606.02,Cook County,Illinois,5.41%,532,24,132,14,702,38
Census Tract 1607,Cook County,Illinois,3.45%,903,23,188,16,1130,39
Census Tract 1608,Cook County,Illinois,3.62%,701,21,178,12,912,33
Census Tract 1609,Cook County,Illinois,4.90%,423,17,82,9,531,26
Census Tract 1610,Cook County,Illinois,2.25%,326,7,65,2,400,9
Census Tract 1611,Cook County,Illinois,3.64%,407,10,43,7,467,17
Census Tract 1612,Cook County,Illinois,2.09%,439,8,76,3,526,11
Census Tract 1613,Cook County,Illinois,4.41%,490,13,160,17,680,30
Census Tract 1701,Cook County,Illinois,1.08%,328,3,37,1,369,4
Census Tract 1702,Cook County,Illinois,1.20%,669,6,74,3,752,9
Census Tract 1703,Cook County,Illinois,1.17%,909,9,101,3,1022,12
Census Tract 1704,Cook County,Illinois,2.22%,759,12,79,7,857,19
Census Tract 1705,Cook County,Illinois,1.34%,999,9,102,6,1116,15
Census Tract 1706,Cook County,Illinois,0.55%,492,0,49,3,544,3
Census Tract 1707,Cook County,Illinois,1.16%,539,6,56,1,602,7
Census Tract 1708,Cook County,Illinois,1.43%,687,11,73,0,771,11
Census Tract 1709,Cook County,Illinois,1.53%,288,3,33,2,326,5
Census Tract 1710,Cook County,Illinois,1.38%,1301,14,131,6,1452,20
Census Tract 1711,Cook County,Illinois,2.39%,687,16,88,3,794,19
Census Tract 1801,Cook County,Illinois,2.10%,1051,19,160,7,1237,26
Census Tract 1901,Cook County,Illinois,2.49%,278,4,74,5,361,9
Census Tract 1902,Cook County,Illinois,1.47%,754,8,120,5,887,13
Census Tract 1903,Cook County,Illinois,2.28%,772,16,128,5,921,21
Census Tract 1904.01,Cook County,Illinois,1.62%,656,7,75,5,743,12
Census Tract 1904.02,Cook County,Illinois,2.02%,750,10,125,8,893,18
Census Tract 1906.01,Cook County,Illinois,1.52%,560,7,86,3,656,10
Census Tract 1906.02,Cook County,Illinois,2.03%,713,14,109,3,839,17
Census Tract 1907.01,Cook County,Illinois,1.12%,371,4,71,1,447,5
Census Tract 1907.02,Cook County,Illinois,1.83%,620,10,129,4,763,14
Census Tract 1908,Cook County,Illinois,2.57%,860,15,165,12,1052,27
Census Tract 1909,Cook County,Illinois,1.98%,245,5,52,1,303,6
Census Tract 1910,Cook County,Illinois,0.52%,314,2,72,0,388,2
Census Tract 1911,Cook County,Illinois,2.21%,928,19,177,6,1130,25
Census Tract 1912,Cook County,Illinois,2.22%,462,5,111,8,586,13
Census Tract 1913.01,Cook County,Illinois,1.63%,621,8,103,4,736,12
Census Tract 1913.02,Cook County,Illinois,1.50%,590,9,133,2,734,11
Census Tract 2001,Cook County,Illinois,3.13%,541,8,141,14,704,22
Census Tract 2002,Cook County,Illinois,2.08%,630,6,169,11,816,17
Census Tract 2003,Cook County,Illinois,2.61%,243,3,56,5,307,8
Census Tract 2004.01,Cook County,Illinois,2.30%,472,7,79,6,564,13
Census Tract 2004.02,Cook County,Illinois,1.90%,566,13,104,0,683,13
Census Tract 2101,Cook County,Illinois,3.61%,654,20,174,11,859,31
Census Tract 2104,Cook County,Illinois,4.02%,363,10,114,10,497,20
Census Tract 2105.01,Cook County,Illinois,3.69%,404,9,170,13,596,22
Census Tract 2105.02,Cook County,Illinois,1.52%,500,5,215,6,726,11
Census Tract 2106.01,Cook County,Illinois,2.09%,361,3,107,7,478,10
Census Tract 2106.02,Cook County,Illinois,4.05%,472,14,192,14,692,28
Census Tract 2107,Cook County,Illinois,3.01%,521,12,188,10,731,22
Census Tract 2108,Cook County,Illinois,0.52%,145,1,47,0,193,1
Census Tract 2109,Cook County,Illinois,3.69%,499,13,154,12,678,25
Census Tract 2203,Cook County,Illinois,5.16%,299,11,142,13,465,24
Census Tract 2204,Cook County,Illinois,5.38%,349,10,161,19,539,29
Census Tract 2205,Cook County,Illinois,4.13%,341,7,193,16,557,23
Census Tract 2206.01,Cook County,Illinois,6.13%,230,9,61,10,310,19
Census Tract 2206.02,Cook County,Illinois,5.48%,496,20,246,23,785,43
Census Tract 2207.01,Cook County,Illinois,4.18%,382,8,122,14,526,22
Census Tract 2207.02,Cook County,Illinois,5.00%,450,9,177,24,660,33
Census Tract 2209.01,Cook County,Illinois,4.75%,323,12,98,9,442,21
Census Tract 2209.02,Cook County,Illinois,3.68%,394,10,103,9,516,19
Census Tract 2210,Cook County,Illinois,5.58%,263,8,126,15,412,23
Census Tract 2211,Cook County,Illinois,4.59%,465,8,241,26,740,34
Census Tract 2212,Cook County,Illinois,6.17%,371,16,192,21,600,37
Census Tract 2213,Cook County,Illinois,2.82%,366,7,185,9,567,16
Census Tract 2214,Cook County,Illinois,3.75%,444,4,224,22,694,26
Census Tract 2215,Cook County,Illinois,2.60%,377,3,148,11,539,14
Census Tract 2216,Cook County,Illinois,4.03%,538,19,176,11,744,30
Census Tract 2222,Cook County,Illinois,3.67%,349,8,123,10,490,18
Census Tract 2225,Cook County,Illinois,1.82%,193,5,76,0,274,5
Census Tract 2226,Cook County,Illinois,6.99%,160,7,106,13,286,20
Census Tract 2227,Cook County,Illinois,4.22%,215,8,103,6,332,14
Census Tract 2228,Cook County,Illinois,6.79%,101,5,50,6,162,11
Census Tract 2229,Cook County,Illinois,5.59%,136,5,33,5,179,10
Census Tract 2301,Cook County,Illinois,7.31%,166,8,75,11,260,19
Census Tract 2302,Cook County,Illinois,4.26%,209,10,83,3,305,13
Census Tract 2303,Cook County,Illinois,3.70%,100,4,30,1,135,5
Census Tract 2304,Cook County,Illinois,3.51%,290,6,67,7,370,13
Census Tract 2305,Cook County,Illinois,2.86%,359,11,83,2,455,13
Census Tract 2306,Cook County,Illinois,3.34%,682,13,185,17,897,30
Census Tract 2307,Cook County,Illinois,3.56%,742,19,178,15,954,34
Census Tract 2308,Cook County,Illinois,2.59%,161,3,27,2,193,5
Census Tract 2309,Cook County,Illinois,4.68%,494,21,239,15,769,36
Census Tract 2311,Cook County,Illinois,4.90%,92,6,44,1,143,7
Census Tract 2312,Cook County,Illinois,3.02%,431,11,211,9,662,20
Census Tract 2315,Cook County,Illinois,5.27%,321,15,182,13,531,28
Census Tract 2402,Cook County,Illinois,4.20%,256,8,86,7,357,15
Census Tract 2403,Cook County,Illinois,4.23%,221,8,73,5,307,13
Census Tract 2405,Cook County,Illinois,4.81%,448,13,185,19,665,32
Census Tract 2406,Cook County,Illinois,4.40%,225,11,101,4,341,15
Census Tract 2407,Cook County,Illinois,2.88%,203,5,67,3,278,8
Census Tract 2408,Cook County,Illinois,3.39%,202,5,83,5,295,10
Census Tract 2409,Cook County,Illinois,7.53%,116,9,56,5,186,14
Census Tract 2410,Cook County,Illinois,6.10%,192,7,116,13,328,20
Census Tract 2411,Cook County,Illinois,3.13%,365,3,253,17,638,20
Census Tract 2412,Cook County,Illinois,4.91%,238,9,91,8,346,17
Census Tract 2413,Cook County,Illinois,2.05%,233,6,101,1,341,7
Census Tract 2414,Cook County,Illinois,2.78%,718,14,332,16,1080,30
Census Tract 2415,Cook County,Illinois,2.41%,423,3,185,12,623,15
Census Tract 2416,Cook County,Illinois,3.43%,360,10,259,12,641,22
Census Tract 2420,Cook County,Illinois,2.98%,539,9,274,16,838,25
Census Tract 2421,Cook County,Illinois,3.42%,607,12,297,20,936,32
Census Tract 2422,Cook County,Illinois,3.20%,609,9,328,22,968,31
Census Tract 2423,Cook County,Illinois,3.70%,543,8,237,22,810,30
Census Tract 2424,Cook County,Illinois,3.10%,406,10,187,9,612,19
Census Tract 2425,Cook County,Illinois,3.38%,479,8,207,16,710,24
Census Tract 2426,Cook County,Illinois,4.43%,672,25,342,22,1061,47
Census Tract 2427,Cook County,Illinois,3.79%,232,5,73,7,317,12
Census Tract 2428,Cook County,Illinois,2.05%,268,4,66,3,341,7
Census Tract 2429,Cook County,Illinois,4.10%,295,8,103,9,415,17
Census Tract 2430,Cook County,Illinois,2.51%,367,6,137,7,517,13
Census Tract 2431,Cook County,Illinois,3.38%,359,8,99,8,474,16
Census Tract 2432,Cook County,Illinois,4.66%,378,8,113,16,515,24
Census Tract 2433,Cook County,Illinois,5.05%,345,19,163,8,535,27
Census Tract 2434,Cook County,Illinois,4.31%,359,11,196,14,580,25
Census Tract 2435,Cook County,Illinois,3.97%,644,11,373,31,1059,42
Census Tract 2502,Cook County,Illinois,1.49%,311,2,86,4,403,6
Census Tract 2503,Cook County,Illinois,2.13%,462,6,134,7,609,13
Census Tract 2504,Cook County,Illinois,1.58%,556,8,131,3,698,11
Census Tract 2505,Cook County,Illinois,2.65%,1314,28,155,12,1509,40
Census Tract 2506,Cook County,Illinois,3.41%,404,12,77,5,498,17
Census Tract 2507,Cook County,Illinois,2.17%,443,8,144,5,600,13
Census Tract 2508,Cook County,Illinois,1.79%,218,3,57,2,280,5
Census Tract 2510,Cook County,Illinois,7.02%,76,3,30,5,114,8
Census Tract 2511,Cook County,Illinois,2.78%,320,8,99,4,431,12
Census Tract 2512,Cook County,Illinois,1.41%,345,4,75,2,426,6
Census Tract 2513,Cook County,Illinois,2.76%,363,9,131,5,508,14
Census Tract 2514,Cook County,Illinois,2.38%,297,6,114,4,421,10
Census Tract 2515,Cook County,Illinois,2.72%,254,4,139,7,404,11
Census Tract 2516,Cook County,Illinois,0.87%,227,0,115,3,345,3
Census Tract 2517,Cook County,Illinois,2.78%,101,1,39,3,144,4
Census Tract 2518,Cook County,Illinois,2.73%,275,5,153,7,440,12
